Source,Target
Once,when
Once,repose
Once,every
Once,evening”
Once,again
when,I
when,"sunrise,"
when,career
when,"age,"
when,But
when,it
when,moment
when,they
when,"day,"
when,you
when,that
when,"sunset,"
when,one
when,"instance,"
when,she
when,And
when,he
when,"king,"
when,me
when,"afar,"
when,salute
when,people
when,"ago,"
when,some
when,himself
when,"Then,"
when,the
when,"planet,"
when,a
when,although
when,be
when,fox
when,"to,"
when,sometimes
when,even
when,morning
when,but
when,was
when,we
when,"laughing,"
when,“And
when,your
when,thing
I,was
I,old
I,saw
I,digestion”
I,pondered
I,pencil
I,succeeded
I,this
I,showed
I,"it,"
I,made
I,drawing
I,drew
I,"six,"
I,gave
I,painter
I,had
I,then
I,chose
I,air-planes
I,have
I,glance
I,can
I,life
I,consequence
I,grown-ups
I,Whenever
I,met
I,"clear-sighted,"
I,tried
I,which
I,kept
I,would
I,Then
I,stars
I,level
I,So
I,lived
I,that
I,could
I,until
I,as
I,"passengers,"
I,set
I,me
I,"then,"
I,went
I,habitation
I,sheep”
I,jumped
I,thunderstruck
I,blinked
I,hard
I,looked
I,And
I,"later,"
I,and
I,never
I,Now
I,stared
I,"Remember,"
I,last
I,"speak,"
I,said
I,"death,"
I,took
I,remembered
I,told
I,did
I,But
I,pictures
I,no
I,do
I,Where
I,"live,"
I,What
I,need
I,want
I,because
I,tossed
I,threw
I,inside”
I,way
I,wanted
I,where
I,live
I,"him,”"
I,how
I,ones
I,asked
I,"“Yes,”"
I,"answered,"
I,much
I,like
I,moment
I,caught
I,"demanded,"
I,planets”
I,‘where
I,"live,’"
I,good
I,will
I,"said,"
I,far”
I,knew
I,325”
I,If
I,indifference
I,should
I,fairy-tales
I,carelessly
I,try
I,shall
I,if
I,forget
I,"him,"
I,may
I,since
I,six
I,am
I,subject
I,make
I,feel
I,fumble
I,best
I,"can,"
I,hope
I,details
I,Perhaps
I,passed
I,"heard,"
I,"more,"
I,“Ah
I,glad”
I,baobabs”
I,pointed
I,"correct,”"
I,"learned,"
I,catastrophe
I,"me,"
I,planet
I,once
I,"“Children,”"
I,say
I,pass
I,simple
I,others
I,When
I,baobabs
I,bit
I,came
I,sunset
I,learned
I,"wait,”"
I,then”
I,"asked,"
I,"sheep,”"
I,they”
I,engine
I,answered
I,weapons”
I,instant
I,"turn,"
I,no”
I,cried
I,don’t
I,anything
I,"see,"
I,grow
I,\
I,"know,"
I,fallen
I,comforted
I,him
I,danger
I,sheep
I,flower
I,will”
I,felt
I,blundering
I,tears
I,soon
I,awake
I,beg
I,“Am
I,not”
I,“And
I,“but
I,drafts
I,suppose
I,night
I,place
I,ought
I,her
I,her”
I,believe
I,course
I,love
I,Try
I,be
I,"“Well,"
I,must
I,wish
I,"animals,"
I,them
I,it
I,can’t
I,"cannot,"
I,“Then
I,I
I,order
I,“If
I,ordered
I,“if
I,“May
I,sit
I,instantly
I,revolution
I,"government,"
I,well
I,“So
I,go
I,kingdom
I,but
I,anywhere
I,rat
I,hear
I,now
I,think
I,Ah
I,twenty-eight
I,haven’t
I,"million,"
I,stop
I,"planet,"
I,"ago,"
I,rheumatism
I,exercise
I,seven-hundred-thirty-one
I,“Nothing
I,own
I,“But
I,owned
I,"flower,"
I,write
I,put
I,“which
I,water
I,day
I,clean
I,(for
I,also
I,reasonable
I,evening
I,lighted
I,again
I,minute
I,thing
I,whom
I,explorer
I,"live,”"
I,small
I,"Earth,"
I,truth
I,what
I,realise
I,run
I,"have,"
I,“Whomever
I,"touch,"
I,send
I,can”
I,“Oh
I,understand
I,existence
I,friends
I,all
I,"you,"
I,"consequence,"
I,yonder
I,time
I,"do,"
I,grass
I,o’clock
I,happy
I,"o’clock,"
I,about
I,"time,"
I,first
I,"liked,"
I,"“Ah,”"
I,plane
I,“Because
I,"danger,”"
I,well”
I,were
I,too”
I,demanded
I,heart”
I,nothing
I,down
I,sat
I,seen”
I,"replied,"
I,true
I,boy
I,"sleep,"
I,more
I,moonlight
I,“What
I,see
I,"half-smile,"
I,still
I,walked
I,"so,"
I,found
I,thought
I,"strange,”"
I,singing”
I,"me,”"
I,you”
I,hoisted
I,"was,"
I,understood
I,for
I,raised
I,gifts
I,received
I,"it,”"
I,replied
I,"true,”"
I,breathed
I,flower”
I,“Oh”
I,"prince,”"
I,"about,”"
I,"why,"
I,"added,"
I,reassured
I,"evening,"
I,heard
I,place”
I,continued
I,there
I,tonight”
I,long”
I,stopped
I,wall”
I,dropped
I,leaped
I,revolver
I,noise
I,"made,"
I,stones
I,reached
I,mean”
I,snakes”
I,wore
I,neck
I,that”
I,difficult”
I,realised
I,happening
I,smile
I,waited
I,"man,”"
I,"“Yes,"
I,know”
I,cannot
I,"besides,"
I,prince
I,"stars,"
I,"you,”"
I,suffering
I,suffer
I,true”
I,far
I,heavy”
I,shells”
I,drink”
I,world”
I,too
I,step
I,by
I,alive
I,know
I,"prince,"
I,forgot
I,keep
was,six
was,It
was,a
was,drawing
was,not
was,"time,"
was,to
was,this
was,Something
was,broken
was,more
was,awakened
was,able
was,that
was,astounded
was,it
was,rejected
was,patience
was,"exhausted,"
was,in
was,very
was,from
was,everything
was,revealed
was,proud
was,curiosity
was,aroused
was,scarcely
was,That
was,by
was,he
was,"charming,"
was,looking
was,there
was,like
was,so
was,self-
was,obliged
was,the
was,planet
was,infested
was,inhabited
was,carried
was,thanks
was,life
was,becoming
was,plane
was,extremely
was,upset
was,There
was,saying
was,He
was,really
was,prince
was,now
was,my
was,which
was,who
was,present
was,flower
was,only
was,She
was,born
was,she
was,“I
was,speaking
was,just
was,inseparable
was,too
was,extinct
was,surprised
was,such
was,them
was,seated
was,at
was,crammed
was,"tired,"
was,upon
was,an
was,wondering
was,tiny
was,rule
was,also
was,power
was,regretting
was,already
was,nobody
was,man
was,talking
was,This
was,sorry
was,time
was,twenty-two
was,disturbed
was,"saying,"
was,no
was,still
was,reasonable
was,confess
was,blest
was,ten
was,disappointed
was,geographer
was,suddenly
was,his
was,necessary
was,responsible
was,beginning
was,always
was,standing
was,overcome
was,"dying,"
was,nursing
was,"rich,"
was,unique
was,had
was,then
was,drinking
was,impossible
was,tired
was,true
was,astonished
was,treasure
was,buried
was,home
was,hiding
was,carrying
was,nothing
was,one
was,pulley
was,as
was,water
was,indeed
was,sweetness
was,good
was,colour
was,making
was,heart
was,torn
was,because
was,"prince,"
was,digging
was,face
was,white
was,what
was,extraordinary
was,happening
was,holding
was,rushing
was,look
was,reviving
was,"afraid,"
was,drink
was,worried
was,walking
was,“It
was,wrong
was,crying
was,afraid
was,"sad,"
six,years
six,the
six,months
six,"Sahara,"
six,and
six,make
six,"continents,"
six,are
six,or
six,now
years,old
years,ago
years,"old,"
years,Six
years,have
years,of
years,For
years,the
years,is
years,since
years,fifty-four
years,that
years,twenty-two
years,"ago,"
years,eleven
years,several
old,too
old,“How
old,is
old,grow
old,As
old,very
old,There
old,an
old,rat
old,this
old,the
old,monarch
old,days
old,gentleman
old,"house,"
old,"weathervane,"
old,stone
old,abandoned
old,about
old,shells”
saw,a
saw,he
saw,my
saw,“I
saw,the
saw,first
saw,"them,"
saw,"nothing,"
saw,nothing
saw,from
saw,still
saw,never
saw,has
a,magnificent
a,in
a,"book,"
a,picture
a,of
a,boa
a,is
a,copy
a,with
a,coloured
a,by
a,hat”
a,not
a,hat
a,been
a,as
a,painter
a,flown
a,little
a,At
a,glance
a,had
a,great
a,lived
a,person
a,such
a,sensible
a,neither
a,mechanic
a,question
a,last
a,week
a,"sand,"
a,thousand
a,than
a,shipwrecked
a,on
a,raft
a,me
a,sheep”
a,most
a,desert
a,child
a,"desert,"
a,matter
a,When
a,mystery
a,"me,"
a,pocket
a,sheet
a,drawn
a,sheep
a,inside
a,very
a,made
a,drawing
a,ram
a,want
a,live
a,long
a,hurry
a,see
a,light
a,have
a,into
a,lovely
a,caught
a,gleam
a,"reverie,"
a,lasted
a,After
a,reflective
a,you
a,"string,"
a,and
a,post
a,What
a,queer
a,perhaps
a,hint
a,learned
a,second
a,house
a,has
a,hard
a,it
a,"name,"
a,only
a,number
a,Turkish
a,"B-612,"
a,law
a,note
a,new
a,beautiful
a,what
a,pretty
a,for
a,wants
a,"sheep,"
a,proof
a,like
a,are
a,upon
a,time
a,planet
a,given
a,much
a,forget
a,friend
a,bought
a,box
a,am
a,grave
a,took
a,whole
a,wise
a,make
a,push
a,charming
a,sprout
a,"rose-bush,"
a,bad
a,off
a,piece
a,means
a,catastrophe
a,knew
a,lazy
a,moralist
a,For
a,at
a,sunset
a,chair
a,few
a,And
a,unscrew
a,bolt
a,"question,"
a,moment
a,kind
a,know
a,certain
a,smelled
a,flower
a,star
a,"man,"
a,mushroom”
a,fat
a,single
a,loves
a,"flower,"
a,muzzle
