Source,Target
﻿In,my
my,younger
my,years
my,father
my,in
my,mind
my,as
my,of
my,tolerance
my,from
my,reaction
my,out
my,interest
my,line
my,was
my,grandfather
my,that
my,after
my,All
my,aunts
my,made
my,bed
my,on
my,shelf
my,into
my,life
my,right
my,neighbour
my,second
my,own
my,think
my,opinion
my,held
my,hand
my,face
my,to
my,lips
my,at
my,cousin
my,way
my,shoulder
my,table
my,is
my,—
my,wedding
my,turned
my,head
my,compel
my,attention
my,","
my,belief
my,started
my,motor
my,reached
my,estate
my,turning
my,elbow
my,meet
my,girl
my,have
my,company
my,got
my,man
my,telephone
my,sister
my,up
my,repeated
my,question
my,feet
my,had
my,appendicitis
my,about
my,ear
my,lick
my,shoe
my,by
my,expression
my,chair
my,see
my,keep
my,eyes
my,against
my,arm
my,watch
my,handkerchief
my,Taking
my,hat
my,crossed
my,lawn
my,find
my,host
my,tore
my,gown
my,me
my,name
my,age
my,before
my,tongue
my,new
my,waved
my,surprise
my,stimulating
my,curiosity
my,provincial
my,began
my,for
my,first
my,brushed
my,than
my,personal
my,threw
my,shadow
my,direction
my,day
my,heart
my,desires
my,generalities
my,door
my,disappointment
my,So
my,all
my,ancestors
my,pulling
my,leg
my,restrain
my,incredulous
my,machine-gun
my,palm
my,To
my,astonishment
my,left
my,friend
my,shaking
my,dropped
my,away
my,coffee
my,presence
my,cuff
my,enjoyed
my,lunch
my,outstay
my,welcome
my,brought
my,change
my,room
my,put
my,ears
my,tightening
my,arms
my,house
my,As
my,taxi
my,In
my,car
my,where
my,ragged
my,meant
my,grass
my,pardon
my,hands
my,entered
my,front
my,cut
my,tell
my,Finn
my,lane
my,dearest
my,with
my,overwhelming
my,stop
my,words
my,and
my,irregular
my,towels
my,s
my,affair
my,be
my,best
my,perhaps
my,association
my,ideas
my,memory
my,mention
my,little
my,fault
my,get
my,mouth
my,train
my,!”
my,hair
my,take
my,coupé
my,underwear
my,around
my,legs
my,across
my,back
my,birthday
my,coat
my,wife
my,God
my,Ga-od
my,heard
my,garage
my,lap
my,though
my,off
my,ambitions
my,swivel-chair
my,forehead
my,timetable
my,answer
my,rushing
my,through
my,yard
my,brain
my,Get
my,wire
my,boy
my,do
my,shook
my,changing
my,clothes
my,most
my,Middle
my,youth
my,more
my,beyond
my,sweep
my,refuse
my,grabbed
my,share
my,spent
my,Saturday
my,trunk
my,drawing
younger,and
younger,The
younger,of
younger,","
younger,—
and,more
and,","
and,I
and,me
and,also
and,detect
and,attach
and,so
and,plagiaristic
and,marred
and,uniform
and,at
and,person
and,which
and,sorrows
and,short-winded
and,we
and,started
and,a
and,East
and,learn
and,aunts
and,uncles
and,finally
and,after
and,lawns
and,friendly
and,—
and,an
and,Dodge
and,bed
and,cooked
and,breakfast
and,muttered
and,sunshine
and,the
and,banking
and,credit
and,investment
and,they
and,red
and,gold
and,Midas
and,Morgan
and,Maecenas
and,solemn
and,obvious
and,now
and,life
and,become
and,where
and,contour
and,separated
and,shape
and,size
and,bizarre
and,not
and,squeezed
and,lawn
and,garden
and,it
and,Chicago
and,come
and,then
and,here
and,there
and,polo
and,were
and,beach
and,ran
and,sundials
and,brick
and,walks
and,burning
and,wide
and,Tom
and,mouth
and,face
and,gave
and,you
and,stronger
and,while
and,wanted
and,politely
and,abruptly
and,ajar
and,gleaming
and,end
and,out
and,their
and,rippling
